2/2 9.74 0:29:37
2/3 24.93 1:32:14
2/4 24.45 1:08:13
2/5 8.58 0:24:48
2/6 7.66 0:28:11
2/7 14.4 0:47:57
2/8 11.04 0:31:21
2/10 29.88 1:19:47
2/11 5.39 0:19:47
2/12 8.25 0:23:56
2/13 6.75 0:23:50
2/14 20.73 1:10:04
2/14 22.06 1:08:36
2/15 5.63 0:17:20
2/16 20.48 1:07:23
2/17 24.32 1:26:49
2/18 15.56 0:52:17
2/19 27.98 1:25:20
2/20 26.74 1:11:08
2/22 5.74 0:16:39
2/23 13.47 0:39:04
2/24 16.42 0:45:49
2/25 7.57 0:26:39
2/26 16.78 0:45:18
2/27 13.00 0:36:16
2/28 22.06 1:07:43
2/29 6.81 0:25:04
3/1 7.66 0:27:02
3/2 26.95 1:32:59
3/5 20.86 0:56:32
3/6 8.39 0:21:54
3/7 29.45 1:50:26
3/8 23.02 1:10:26
3/9 15.32 0:41:31
3/10 25.38 1:11:04
3/11 9.81 0:35:43
3/12 18.11 0:47:16
3/13 26.15 1:07:44
3/14 26.91 1:19:07
3/15 14.49 0:51:26
3/16 5.71 0:16:10
3/17 7.36 0:26:39
3/18 13.05 0:33:56
3/19 13.18 0:37:18
3/20 27.81 1:23:42
